"Taxonomy","Metabolic category","Feeding Type","Environment","Feeding Mode","Trophic Level","BodyWeight","Mobility"
"Oligoplites saurus","ectotherm vertebrate","omnivorous","reef-associated","predator",3.66,3.34E+002,4
"Selar crumenophthalmus","ectotherm vertebrate","carnivorous","reef-associated","predator",3,1.24E+003,4
"Seriola dumerili","ectotherm vertebrate","carnivorous","reef-associated","predator",4.9,8.00E+004,4
"Trachinotus falcatus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.16,3.60E+004,4
"Trachinotus goodei","ectotherm vertebrate","carnivorous","reef-associated","predator",3.69,3.90E+003,4
"Carcharhinus acronotus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.69,9.00E+004,4
"Carcharhinus falciformis","ectotherm vertebrate","carnivorous","reef-associated","predator",4.9,3.50E+005,4
"Carcharhinus leucas","ectotherm vertebrate","carnivorous","reef-associated","predator",5.18,3.50E+005,4
"Carcharhinus limbatus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.65,1.16E+005,4
"Carcharhinus longimanus","ectotherm vertebrate","carnivorous","benthopelagic","predator",4.86,3.50E+005,4
"Carcharhinus perezi","ectotherm vertebrate","carnivorous","reef-associated","predator",4.79,1.00E+005,4
"Galeocerdo cuvier","ectotherm vertebrate","carnivorous","benthopelagic","predator",4.89,6.72E+005,4
"Negaprion brevirostris","ectotherm vertebrate","carnivorous","reef-associated","predator",4.67,1.10E+005,4
"Rhizoprionodon porosus","ectotherm vertebrate","carnivorous","reef-associated","predator",4.68,5.02E+003,4
"Holacanthus ciliaris","ectotherm vertebrate","carnivorous","reef-associated","predator",4.04,1.90E+001,4
"Chaetodon capistratus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.41,1.20E+002,4
"Chaetodon sedentarius","ectotherm vertebrate","carnivorous","reef-associated","predator",3.69,1.30E+002,4
"Chaetodon striatus","ectotherm vertebrate","carnivorous","reef-associated","predator",3.86,1.64E+002,4
"Amblycirrhitus pinos","ectotherm vertebrate","carnivorous","reef-associated","predator",3.83,1.50E+001,4
"Labrisomus guppyi","ectotherm vertebrate","carnivorous","reef-associated","predator",4.1,1.51E+001,4
